"","show_id","type","title","director","cast","country","date_added","release_year","rating","duration","listed_in","description"
"1",81145628,"Movie","Norm of the North: King Sized Adventure","Richard Finn, Tim Maltby","Alan Marriott, Andrew Toth, Brian Dobson, Cole Howard, Jennifer Cameron, Jonathan Holmes, Lee Tockar, Lisa Durupt, Maya Kay, Michael Dobson","United States, India, South Korea, China","September 9, 2019",2019,"TV-PG","90 min","Children & Family Movies, Comedies","Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first."
"2",80117401,"Movie","Jandino: Whatever it Takes","","Jandino Asporaat","United Kingdom","September 9, 2016",2016,"TV-MA","94 min","Stand-Up Comedy","Jandino Asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of ""Sex on Fire"" in his comedy show."
"4",80058654,"TV Show","Transformers: Robots in Disguise","","Will Friedle, Darren Criss, Constance Zimmer, Khary Payton, Mitchell Whitfield, Stuart Allan, Ted McGinley, Peter Cullen","United States","September 8, 2018",2016,"TV-Y7","1 Season","Kids' TV","When a prison ship crash unleashes hundreds of Decepticons on Earth, Bumblebee leads a new Autobot force to protect humankind."
"5",80125979,"Movie","#realityhigh","Fernando Lebrija","Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers, Alicia Sanz, Jake Borelli, Kid Ink, Yousef Erakat, Rebekah Graf, Anne Winters, Peter Gilroy, Patrick Davis","United States","September 8, 2017",2017,"TV-14","99 min","Comedies","When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity."
"6",80163890,"TV Show","Apaches","","Alberto Ammann, Eloy Azorín, Verónica Echegui, Lucía Jiménez, Claudia Traisac","Spain","September 8, 2017",2016,"TV-MA","1 Season","Crime TV Shows, International TV Shows, Spanish-Language TV Shows","A young journalist is forced into a life of crime to save his father and family in this series based on the novel by Miguel Sáez Carral."
"8",80164077,"Movie","Fabrizio Copano: Solo pienso en mi","Rodrigo Toro, Francisco Schultz","Fabrizio Copano","Chile","September 8, 2017",2017,"TV-MA","60 min","Stand-Up Comedy","Fabrizio Copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks, family WhatsApp groups and more."
"9",80117902,"TV Show","Fire Chasers","","","United States","September 8, 2017",2017,"TV-MA","1 Season","Docuseries, Science & Nature TV","As California's 2016 fire season rages, brave backcountry firefighters race to put out the flames, protect homes and save lives in this docuseries."
"11",80169755,"Movie","Joaquín Reyes: Una y no más","José Miguel Contreras","Joaquín Reyes","","September 8, 2017",2017,"TV-MA","78 min","Stand-Up Comedy","Comedian and celebrity impersonator Joaquín Reyes decides to be his zesty self for a night of stories about buses, bathroom habits, royalty and more."
"15",80182596,"Movie","Krish Trish and Baltiboy: Best Friends Forever","Munjal Shroff, Tilak Shetty","Damandeep Singh Baggan, Smita Malhotra, Deepak Chachra","","September 8, 2017",2016,"TV-Y","65 min","Children & Family Movies","A cat, monkey and donkey team up to narrate folktales about friendship from Northeast India, and the Indian regions of Bihar and Rajasthan."
"17",80182597,"Movie","Krish Trish and Baltiboy: Oversmartness Never Pays","Tilak Shetty","Rishi Gambhir, Smita Malhotra, Deepak Chachra","","September 8, 2017",2017,"TV-Y7","65 min","Children & Family Movies","A cat, monkey and donkey learn the consequences of cheating through stories from the Indian regions of Rajasthan, West Bengal and Maharashtra."
"28",80203094,"Movie","City of Joy","Madeleine Gavin","","United States,","September 7, 2018",2018,"TV-MA","77 min","Documentaries","Women who've been sexually brutalized in war-torn Congo begin to heal at City of Joy, a center that helps them regain a sense of self and empowerment."
"29",80190843,"TV Show","First and Last","","","","September 7, 2018",2018,"TV-MA","1 Season","Docuseries","Take an intimate look at the emotionally charged first and last days of new and soon-to-be released inmates at Georgia's Gwinnett County Jail."
"31",80988892,"Movie","Next Gen","Kevin R. Adams, Joe Ksander","John Krasinski, Charlyne Yi, Jason Sudeikis, Michael Peña, David Cross, Constance Wu","China, Canada, United States","September 7, 2018",2018,"TV-PG","106 min","Children & Family Movies, Comedies, Sci-Fi & Fantasy","When lonely Mai forms an unlikely bond with a top-secret robot, they embark on an intense, action-packed adventure to foil the plot of a vicious villain."
"32",80239639,"Movie","Sierra Burgess Is A Loser","Ian Samuels","Shannon Purser, Kristine Froseth, RJ Cyler, Noah Centineo, Loretta Devine, Giorgia Whigham, Alice Lee, Lea Thompson, Alan Ruck, Mary Pat Gleason, Chrissy Metz","United States","September 7, 2018",2018,"PG-13","106 min","Comedies, Romantic Movies","A wrong-number text sparks a virtual romance between a smart but unpopular teen and a sweet jock who thinks he's talking to a gorgeous cheerleader."
"33",80159586,"Movie","The Most Assassinated Woman in the World","Franck Ribière","Anna Mouglalis, Niels Schneider, André Wilms, Michel Fau, Sissi Duparc, Jean-Michel Balthazar, Julie Recoing, Eric Godon, Maya Coline, Constance Dollé","Belgium, United Kingdom, United States","September 7, 2018",2018,"TV-MA","102 min","Dramas, International Movies, Thrillers","In 1930s Paris, an actress famous for her gory death scenes at the Grand Guignol Theater contends with a mysterious stalker and ghosts from her past."
"34",80152447,"Movie","Cézanne et moi","Daniele Thompson","Guillaume Canet, Guillaume Gallienne, Alice Pol, Déborah François, Sabine Azéma, Freya Mavor, Isabelle Candelier, Laurent Stocker","Belgium, France","September 7, 2017",2016,"R","114 min","Dramas, Independent Movies, International Movies","This historical drama explores the long and often volatile friendship of painter Paul Cézanne and writer Émile Zola, who first met as schoolboys."
"35",80221550,"TV Show","Archibald's Next Big Thing","","Tony Hale, Rosamund Pike, Jordan Fisher, Chelsea Kane, Adam Pally, Kari Wahlgren","","September 6, 2019",2019,"TV-Y7","1 Season","Kids' TV, TV Comedies","Happy-go-lucky chicken Archibald may not remember to do his chores, but he never forgets to have fun. After all, life's an adventure!"
"36",81154455,"Movie","Article 15","Anubhav Sinha","Ayushmann Khurrana, Nassar, Manoj Pahwa, Kumud Mishra, Isha Talwar, Sayani Gupta, Mohammed Zeeshan Ayyub, Subhrajyoti Barat, Sushil Pandey, Aakash Dabhade","India","September 6, 2019",2019,"TV-MA","125 min","Dramas, International Movies, Thrillers","The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into India’s heartland to investigate a murder."
"37",81113928,"Movie","Care of Kancharapalem","Maha Venkatesh","Subba Rao Vepada, Radha Bessy, Kesava Karri, Nithyasri Goru, Karthik Rathnam, Praneetha Patnaik, Mohan Bhagath, Praveena Paruchuri","","September 6, 2019",2018,"TV-14","142 min","Comedies, Dramas, Independent Movies","From a schoolboy’s crush to a middle-aged bachelor’s office romance, four love stories spanning age, religion and status unfold in a small Indian town."
"38",81052275,"Movie","Ee Nagaraniki Emaindi","Tharun Bhascker","Vishwaksen Naidu, Sushanth Reddy, Abhinav Gomatam, Venkatesh Kakumanu, Anisha Ambrose, Simran Choudhary","India","September 6, 2019",2018,"TV-14","133 min","Comedies, International Movies","In Goa and in desperate need of cash, four childhood friends get another shot at making their long-abandoned dreams of becoming filmmakers come true."
"39",81132437,"Movie","Kill Me If You Dare","Şenol Sönmez","Murat Boz, Seda Bakan, Açelya Topaloğlu, Özgür Emre Yıldırım, Seda Güven, Yosi Mizrahi, Dilşad Şimşek, Ali Yoğurtçuoğlu","","September 6, 2019",2019,"TV-14","100 min","Comedies, International Movies, Romantic Movies","Bogged down with money problems, a couple grows cautious of each other but hit the lottery and decide to stay together – till death do they part."
"40",80178151,"TV Show","The Spy","","Sacha Baron Cohen, Noah Emmerich, Hadar Ratzon Rotem, Alexander Siddig, Waleed Zuaiter, Nassim Lyes","France","September 6, 2019",2019,"TV-MA","1 Season","International TV Shows, TV Dramas, TV Thrillers","In the 1960s, Israeli clerk-turned-secret agent Eli Cohen goes deep undercover inside Syria on a perilous, years-long mission to spy for Mossad."
"45",81176188,"Movie","American Factory: A Conversation with the Obamas","","President Barack Obama, Michelle Obama, Julia Reichert, Steven Bognar","","September 5, 2019",2019,"TV-G","10 min","Documentaries","Barack and Michelle Obama talk with directors Steven Bognar and Julia Reichert about the documentary and the importance of storytelling."
"49",81016045,"Movie","One Day","Banjong Pisanthanakun","Chantavit Dhanasevi, Nittha Jirayungyurn, Theerapat Sajakul, Prim Bulakul, Kris Srepoomseth, Somyos Matures, Sutthatip Wutichaipradit, Rermthon Kemapech, Kaz Sawamura","Thailand","September 5, 2018",2016,"TV-PG","135 min","Dramas, International Movies, Romantic Movies","When his colleague (and crush) temporarily loses her memory, an overlooked geek seizes the chance to make an impression before she remembers again."
"53",80147760,"Movie","Carrie Pilby","Susan Johnson","Bel Powley, Nathan Lane, Vanessa Bayer, Gabriel Byrne, Jason Ritter, Colin O'Donoghue, William Moseley, Desmin Borges","United States","September 5, 2017",2016,"TV-14","98 min","Comedies, Dramas","A socially awkward 19-year-old genius makes big plans to step out of her shell and make a friend, get a job and – maybe – even go on a date."
"54",80177405,"Movie","Marc Maron: Too Real","Lynn Shelton","Marc Maron","United States","September 5, 2017",2017,"TV-MA","70 min","Stand-Up Comedy","Battle-scarred stand-up comedian Marc Maron unleashes a storm of ideas about meditation, mortality, documentary films and our weird modern world."
"55",80113482,"TV Show","No Tomorrow","","Joshua Sasse, Tori Anderson, Jonathan Langdon, Sarayu Blue, Jesse Rath, Amy Pietz","United States","September 5, 2017",2016,"TV-14","1 Season","Romantic TV Shows, TV Comedies, TV Dramas","Her straitjacketed life turned topsy-turvy by hunky Xavier, Evie discovers a new freedom – even though her man just might be an end-of-days crackpot."
